Time (UTC),Latitude (deg),Longitude (deg), Total Field (nT), Horizontal Component (nT), Vertical Component (nT)
2024-08-23 13:02:44,46.257607,14.424279,46943.65,28339.13,37424.6
2024-08-23 13:02:54,46.257534,14.424413,46943.71,28372.26,37399.56
2024-08-23 13:03:04,46.257534,14.424413,46943.71,28380.66,37393.18
2024-08-23 13:03:14,46.257534,14.424413,46943.65,28380.37,37393.32
2024-08-23 13:03:24,46.257534,14.424413,46943.66,28355.42,37412.25
2024-08-23 13:03:34,46.257534,14.424413,46943.67,28401.33,37377.44
2024-08-23 13:03:44,46.257534,14.424413,46943.65,28424.92,37359.48
2024-08-23 13:03:54,46.257534,14.424413,46943.66,28425.42,37359.1
2024-08-23 13:04:04,46.257534,14.424413,46943.69,28430.04,37355.63
2024-08-23 13:04:14,46.257523,14.424242,46943.7,28440.71,37347.51
2024-08-23 13:04:24,46.257545,14.424215,46943.66,28418.92,37364.05
2024-08-23 13:04:34,46.257534,14.424218,46943.66,28433.3,37353.11
2024-08-23 13:04:44,46.257519,14.424215,46943.67,28412.43,37369
2024-08-23 13:04:54,46.257519,14.424215,46943.68,28453.69,37337.6
2024-08-23 13:05:04,46.257504,14.424212,46943.66,28437.21,37350.14
2024-08-23 13:05:14,46.257511,14.424211,46943.65,28387.71,37387.76
2024-08-23 13:05:24,46.257504,14.424227,46828.23,28258.15,37341.12
2024-08-23 13:05:34,46.257504,14.424227,46828.23,28283.13,37322.21
2024-08-23 13:05:45,46.257504,14.424227,46903.36,28285.21,37414.86
2024-08-23 13:05:55,46.257504,14.424227,46975.35,28264.34,37520.8
2024-08-23 13:06:05,46.257504,14.424227,46931.7,28250.01,37476.94
2024-08-23 13:06:15,46.257446,14.424253,47117.35,28586.32,37454.86
2024-08-23 13:06:25,46.257442,14.424253,47037.83,28215.88,37635.38
2024-08-23 13:06:35,46.25745,14.424252,47091.27,28213.71,37703.77
2024-08-23 13:06:45,46.257454,14.42425,47180.86,28317.87,37737.66
2024-08-23 13:06:55,46.257454,14.42425,47159.8,28445.67,37615.04
2024-08-23 13:07:05,46.257454,14.424259,47228.49,28160.66,37914.48
2024-08-23 13:07:15,46.257454,14.424263,47263.25,28439.03,37749.66
2024-08-23 13:07:25,46.257454,14.424263,47430.2,28477.63,37929.53
2024-08-23 13:07:35,46.257465,14.424262,47025.08,28025.03,37761.83
2024-08-23 13:07:45,46.257465,14.424254,47073.2,28109.77,37758.8
2024-08-23 13:07:55,46.257473,14.424257,47199.49,28471.65,37645.14
2024-08-23 13:08:05,46.257477,14.424258,46831.64,28238.65,37360.15
2024-08-23 13:08:15,46.257477,14.424258,47272.61,28345.61,37831.55
2024-08-23 13:08:25,46.257473,14.424272,46963.34,28179.61,37569.46
2024-08-23 13:08:35,46.257473,14.424272,47015.27,28261.77,37572.7
2024-08-23 13:08:45,46.257473,14.424272,46966.45,28102.84,37630.81
2024-08-23 13:08:55,46.257488,14.424282,47074.88,28499.48,37467.64
2024-08-23 13:09:05,46.257488,14.424282,46368.32,27927.73,37014.37
2024-08-23 13:09:15,46.257488,14.424288,46750.39,27899.32,37513.02
2024-08-23 13:09:25,46.257488,14.424285,46961.37,28015.85,37689.28
2024-08-23 13:09:35,46.257492,14.424278,46949.48,27747.44,37872.59
2024-08-23 13:09:45,46.257492,14.424274,46651.64,28192.02,37169.68
2024-08-23 13:09:55,46.257492,14.424274,46972.83,28126.86,37620.83
2024-08-23 13:10:05,46.257492,14.424274,46817.37,27802.37,37668.21
