Time (UTC),Latitude (deg),Longitude (deg), Total Field (nT), Horizontal Component (nT), Vertical Component (nT)
2024-07-10 19:37:40,46.257584,14.424674,41756.04,28203.78,30791.44
2024-07-10 19:37:50,46.257477,14.424782,53692.13,36002.56,39832.91
2024-07-10 19:38:00,46.257519,14.424747,49903.62,33834.11,36682.75
2024-07-10 19:38:10,46.257652,14.42468,48253.96,25875.26,40729.79
2024-07-10 19:38:20,46.257755,14.424717,47595.81,25946.71,39901.5
2024-07-10 19:38:30,46.257851,14.42478,47780.68,25435.52,40447.84
2024-07-10 19:38:40,46.257977,14.424868,47841.04,25016.47,40779.18
2024-07-10 19:38:50,46.258095,14.424928,49551.28,26313.86,41987.03
2024-07-10 19:39:00,46.258221,14.425019,48266.27,25202.33,41164.02
2024-07-10 19:39:10,46.258343,14.425072,48022.71,25084.13,40950.79
2024-07-10 19:39:20,46.258453,14.425144,48426.96,25278.01,41306.08
2024-07-10 19:39:30,46.258583,14.425221,48070.44,25444.09,40784.38
2024-07-10 19:39:40,46.258701,14.425298,48042.37,24588.18,41273.37
2024-07-10 19:39:50,46.258804,14.425396,48411.64,25239.67,41311.56
2024-07-10 19:40:00,46.258907,14.425497,48280.66,25186.69,41190.45
2024-07-10 19:40:10,46.259003,14.425635,48349.41,24773.48,41520.36
2024-07-10 19:40:20,46.259083,14.425768,47097.73,24030.02,40506.23
2024-07-10 19:40:30,46.259171,14.4259,47819.08,25139.76,40677.47
2024-07-10 19:40:40,46.259262,14.426021,48526.69,25459.91,41311.41
2024-07-10 19:40:50,46.259342,14.426154,46879.16,24454.42,39995.46
2024-07-10 19:41:00,46.259415,14.426302,48476.84,25334.77,41329.81
2024-07-10 19:41:10,46.259529,14.426298,47682.95,24630.68,40828.83
2024-07-10 19:41:20,46.259647,14.42627,47576.06,24485.23,40791.61
2024-07-10 19:41:30,46.259785,14.426236,48048.2,24219.71,41497.41
2024-07-10 19:41:40,46.259895,14.426186,48396.77,25319.81,41245.06
2024-07-10 19:41:50,46.260014,14.426121,50158.01,26366.36,42668.97
2024-07-10 19:42:00,46.260136,14.426074,47898.16,25049.56,40825.89
2024-07-10 19:42:10,46.260246,14.426021,47933.73,24501.11,41198.77
2024-07-10 19:42:20,46.260365,14.425987,47448.2,24415.19,40684.52
2024-07-10 19:42:30,46.260502,14.425923,47835.14,24246.56,41234.75
2024-07-10 19:42:40,46.260624,14.425861,48092.66,23487.07,41967.38
2024-07-10 19:42:50,46.260731,14.425811,47936.77,24315.56,41312.07
2024-07-10 19:43:00,46.260857,14.425758,48181.62,24649.05,41399.2
2024-07-10 19:43:10,46.26096,14.425708,47748.44,24546.21,40956.04
2024-07-10 19:43:20,46.261086,14.425655,47914.51,24610.91,41110.86
2024-07-10 19:43:30,46.261208,14.425583,48235.89,25042.47,41225.91
2024-07-10 19:43:40,46.261311,14.425529,47791.31,24209.19,41205.88
2024-07-10 19:43:50,46.26144,14.425488,47734.68,24147.63,41176.35
2024-07-10 19:44:00,46.261559,14.425431,48080.05,24955.06,41096.67
2024-07-10 19:44:10,46.261669,14.425418,48152.07,24902.34,41212.81
2024-07-10 19:44:20,46.261791,14.425377,48017.43,24846.54,41089.21
2024-07-10 19:44:30,46.261917,14.425352,48015.04,24834.13,41093.91
2024-07-10 19:44:40,46.262035,14.425326,48107.98,25075.14,41056.25
2024-07-10 19:44:50,46.262142,14.425281,47902.25,24558.51,41127.92
2024-07-10 19:45:00,46.26228,14.425216,47908.84,24772.25,41007.23
2024-07-10 19:45:10,46.262375,14.425163,47690.05,24496.51,40917.75
2024-07-10 19:45:20,46.262474,14.425109,47402.66,24396.83,40642.43
2024-07-10 19:45:30,46.262589,14.425031,47386.22,24125.72,40784.84
2024-07-10 19:45:40,46.262703,14.424952,47489.2,24108.18,40914.79
2024-07-10 19:45:50,46.262806,14.424876,47976.53,24692.32,41134.38
2024-07-10 19:46:00,46.262932,14.424823,48205.54,25110.43,41149.01
2024-07-10 19:46:10,46.263039,14.42476,47685.32,24368.11,40988.85
2024-07-10 19:46:20,46.263161,14.424701,47929.37,24136.4,41408.43
2024-07-10 19:46:30,46.263226,14.424656,47624.79,23942.94,41168.64
2024-07-10 19:46:40,46.26334,14.424591,48107.32,25094.39,41043.7
2024-07-10 19:46:50,46.263454,14.424531,47081.02,24037.73,40482.22
2024-07-10 19:47:00,46.263554,14.42446,48856.15,25162.93,41877.8
2024-07-10 19:47:10,46.263653,14.424396,47383.34,24235.6,40716.29
2024-07-10 19:47:20,46.263763,14.424328,47537.67,24097.98,40977.04
2024-07-10 19:47:30,46.263874,14.424261,47966.45,24538.78,41214.42
2024-07-10 19:47:40,46.263988,14.424185,47916.39,24198.61,41357.07
2024-07-10 19:47:50,46.264076,14.424104,47464.23,23185.62,41415.93
2024-07-10 19:48:00,46.264179,14.424007,47025.09,22084.97,41516.41
2024-07-10 19:48:10,46.264282,14.423918,47533.57,24218.34,40901.25
2024-07-10 19:48:20,46.264374,14.423854,47943.54,24367.07,41289.57
2024-07-10 19:48:30,46.264481,14.423808,48115.12,24572.13,41367.56
2024-07-10 19:48:40,46.264591,14.423761,47531.3,23788.69,41150.01
2024-07-10 19:48:50,46.264694,14.42372,45189.27,22401.27,39246.05
2024-07-10 19:49:00,46.264805,14.423665,47791.44,23855.58,41411.75
2024-07-10 19:49:10,46.264915,14.423608,47915.45,24141.79,41389.18
2024-07-10 19:49:20,46.265018,14.423527,47650.99,24343.14,40963.75
2024-07-10 19:49:30,46.265125,14.423465,47591.85,24129.23,41021.51
2024-07-10 19:49:40,46.265236,14.423377,47639.73,24074.51,41109.15
2024-07-10 19:49:50,46.265347,14.423293,48826.7,19572.12,44732.3
2024-07-10 19:50:00,46.265442,14.423209,47826.3,23566.48,41617.02
2024-07-10 19:50:10,46.265526,14.4231,47358.79,23084.27,41351.8
2024-07-10 19:50:20,46.26561,14.422994,47285.66,23059.86,41281.68
2024-07-10 19:50:30,46.26569,14.42286,47111.95,22371.22,41461.59
2024-07-10 19:50:40,46.265736,14.422731,45418.3,18670.15,41403.47
2024-07-10 19:50:50,46.265789,14.422579,46586.17,21620.11,41265.51
2024-07-10 19:51:00,46.265831,14.422435,46868.79,21838.79,41469.88
2024-07-10 19:51:10,46.265877,14.422312,47155.31,22831.57,41259.46
2024-07-10 19:51:20,46.265945,14.422153,46847.27,22311.54,41192.98
2024-07-10 19:51:30,46.266026,14.421988,47408.12,23127.64,41384.08
2024-07-10 19:51:40,46.266052,14.421975,48062.88,23175.59,42106.2
2024-07-10 19:51:50,46.266052,14.421975,48140.51,23604.95,41956.11
2024-07-10 19:52:00,46.266052,14.42199,47939.93,23094.25,42010.63
2024-07-10 19:52:10,46.266079,14.421867,46537.47,22111.53,40948.95
2024-07-10 19:52:20,46.266121,14.421724,46231.26,21045.51,41163.29
2024-07-10 19:52:30,46.266163,14.421579,46519.51,21321.43,41345.63
2024-07-10 19:52:40,46.266182,14.421401,46442.61,20796.26,41526.28
2024-07-10 19:52:50,46.266212,14.421258,46231.1,20803.25,41286.06
2024-07-10 19:53:00,46.266258,14.421106,46699.42,22197.4,41086.63
2024-07-10 19:53:10,46.266319,14.420955,47194.89,23051.89,41182.13
2024-07-10 19:53:20,46.266384,14.420843,47216.07,22637.05,41435.75
2024-07-10 19:53:30,46.266468,14.420767,47656.07,23646.77,41375.49
2024-07-10 19:53:40,46.266544,14.420708,47780.66,24166.28,41218.71
2024-07-10 19:53:50,46.266644,14.420642,47644.65,23766.86,41293.45
2024-07-10 19:54:00,46.266754,14.420568,47503.88,23599.37,41227.28
2024-07-10 19:54:10,46.266853,14.420476,47606.21,23958.98,41137.8
2024-07-10 19:54:20,46.266945,14.420365,46929.45,23064.83,40870.36
2024-07-10 19:54:30,46.267036,14.420268,46340.69,21629.86,40983.03
2024-07-10 19:54:40,46.267113,14.420153,47563.11,23731.62,41219.65
2024-07-10 19:54:50,46.267212,14.420041,47308.45,23154.62,41254.73
2024-07-10 19:55:00,46.267296,14.419937,47183.57,23388.41,40978.91
2024-07-10 19:55:10,46.267391,14.419838,47333.71,23730.75,40955.24
2024-07-10 19:55:20,46.267467,14.419724,46379,21353.28,41170.98
2024-07-10 19:55:30,46.267494,14.419537,45616.45,20423.18,40789.14
2024-07-10 19:55:40,46.267487,14.419371,45542.53,19926.32,40951.97
2024-07-10 19:55:50,46.267471,14.419218,45202.54,19153.84,40943.86
2024-07-10 19:56:00,46.267384,14.419166,42749.73,19097.97,38246.66
2024-07-10 19:56:10,46.267242,14.419171,42185.89,17441.55,38411.47
2024-07-10 19:56:20,46.267139,14.419188,44728.48,19520.03,40244.33
2024-07-10 19:56:30,46.267021,14.41919,45458.82,19399.05,41111.81
2024-07-10 19:56:40,46.266895,14.419196,45142.96,19041.28,40930.63
2024-07-10 19:56:50,46.266766,14.419188,45655.36,19298.45,41376.1
2024-07-10 19:57:00,46.266659,14.419185,45261.91,19108.5,41030.54
2024-07-10 19:57:10,46.266537,14.419154,45391.37,19272.26,41096.91
2024-07-10 19:57:20,46.266426,14.419131,45279.53,18623.66,41272.21
2024-07-10 19:57:30,46.266304,14.419105,44852.04,18821.3,40711.96
2024-07-10 19:57:40,46.26619,14.419078,45193.31,18992.68,41008.7
2024-07-10 19:57:50,46.266064,14.419058,45386.18,19062.47,41188.93
2024-07-10 19:58:00,46.265949,14.419044,45449.86,19358.59,41120.98
2024-07-10 19:58:10,46.265827,14.41903,45027.72,18783.92,40922.61
2024-07-10 19:58:20,46.265724,14.419024,45108.57,19449.14,40700.29
2024-07-10 19:58:30,46.265583,14.419026,45300.95,19269.91,40998.13
2024-07-10 19:58:40,46.265461,14.419032,45442.82,19366.12,41109.64
2024-07-10 19:58:50,46.265343,14.419047,45296,19215.17,41018.35
2024-07-10 19:59:00,46.265213,14.419061,45150.66,19142.42,40891.93
2024-07-10 19:59:10,46.265095,14.419083,45685,19414.94,41354.32
2024-07-10 19:59:20,46.264988,14.419104,45265.62,19506.95,40846.73
2024-07-10 19:59:30,46.26487,14.419121,45370.14,20000.4,40723.88
2024-07-10 19:59:40,46.26474,14.419123,44528.53,19219.19,40167.31
2024-07-10 19:59:50,46.264614,14.419128,45166.41,18858.96,41040.77
2024-07-10 20:00:00,46.264481,14.419122,45284.53,19439.65,40899.74
2024-07-10 20:00:10,46.264359,14.419114,45330.52,19319.18,41007.63
2024-07-10 20:00:20,46.264236,14.41909,45834.29,19461.46,41497.4
2024-07-10 20:00:30,46.264118,14.419072,45228.76,18378.72,41326.3
2024-07-10 20:00:40,46.263996,14.419028,44979.28,18305.6,41085.77
2024-07-10 20:00:50,46.263878,14.419004,45071.97,18615.71,41048
2024-07-10 20:01:00,46.263744,14.418966,45157.38,18885.79,41018.48
2024-07-10 20:01:10,46.26363,14.418933,44690.3,19218.38,40346.95
2024-07-10 20:01:20,46.263496,14.418905,45096.29,18695.97,41038.23
2024-07-10 20:01:30,46.263374,14.418866,44944.15,18911.31,40771.79
2024-07-10 20:01:40,46.263252,14.418836,45198.79,18696.45,41150.61
2024-07-10 20:01:50,46.263126,14.4188,43636.95,18839.85,39360.44
2024-07-10 20:02:00,46.263008,14.418774,45258.95,18502.98,41303.91
2024-07-10 20:02:10,46.262875,14.418749,45035,18991.07,40834.92
2024-07-10 20:02:20,46.262756,14.418726,45206.01,18551.43,41224.11
2024-07-10 20:02:30,46.26263,14.418712,45136.89,19539.49,40688.41
2024-07-10 20:02:40,46.262497,14.418697,45533.64,19373,41206.79
2024-07-10 20:02:50,46.262363,14.418689,44990.94,19032.89,40766.82
2024-07-10 20:03:00,46.262245,14.418677,45074.92,18966.51,40890.34
2024-07-10 20:03:10,46.262119,14.418659,45106.91,18806.11,40999.55
2024-07-10 20:03:20,46.26199,14.418642,45065.28,19151.07,40793.57
2024-07-10 20:03:30,46.261856,14.41863,45393.7,19004.35,41224.05
2024-07-10 20:03:40,46.261726,14.418625,44800.25,19227.84,40464.22
2024-07-10 20:03:50,46.261593,14.41861,45505.63,19088.13,41308.66
2024-07-10 20:04:00,46.261467,14.418606,44873.43,18492.85,40885.69
2024-07-10 20:04:10,46.261341,14.418598,45428.78,18703.57,41399.88
2024-07-10 20:04:20,46.261211,14.41858,45300.7,19095.47,41079.4
2024-07-10 20:04:30,46.261082,14.41857,45069.98,19841.52,40467.49
2024-07-10 20:04:40,46.26096,14.418557,46066.48,20270.56,41366.95
2024-07-10 20:04:50,46.260834,14.418558,45405.18,18696.69,41377.09
2024-07-10 20:05:00,46.260696,14.418536,45315.77,19370.59,40967.05
2024-07-10 20:05:10,46.260574,14.418524,45128.78,19024.75,40922.68
2024-07-10 20:05:20,46.260452,14.418519,45027.07,18985.86,40828.6
2024-07-10 20:05:30,46.26033,14.418515,45026.5,18895.73,40869.76
2024-07-10 20:05:40,46.260197,14.418499,44861.05,18871.86,40698.48
2024-07-10 20:05:50,46.260082,14.418498,44839.96,18858.79,40681.3
2024-07-10 20:06:00,46.259956,14.418486,45159.74,19155.77,40895.7
2024-07-10 20:06:10,46.25983,14.418479,45045.83,18945.58,40867.98
2024-07-10 20:06:20,46.259701,14.418473,45110.28,18706.81,41048.66
2024-07-10 20:06:30,46.259575,14.418457,45125.26,18958.76,40949.41
2024-07-10 20:06:40,46.259453,14.418446,45063.87,19070.38,40829.8
2024-07-10 20:06:50,46.259327,14.418435,45178.03,18815.15,41073.65
2024-07-10 20:07:00,46.259201,14.418423,45239.66,19052.48,41032.05
2024-07-10 20:07:10,46.259079,14.418406,45129.6,18524.16,41152.6
2024-07-10 20:07:20,46.258945,14.41839,45034.55,18588.38,41019.3
2024-07-10 20:07:30,46.258831,14.418359,44939.26,18663.23,40880.57
2024-07-10 20:07:40,46.258709,14.418346,45012.19,18912.89,40846.05
2024-07-10 20:07:50,46.258587,14.418324,44889.9,18811.06,40758.4
2024-07-10 20:08:00,46.258457,14.4183,45095.57,19252.53,40779.3
2024-07-10 20:08:10,46.258316,14.418277,45358,18890.62,41237.03
2024-07-10 20:08:20,46.258183,14.41826,45092.15,19064.53,40863.75
2024-07-10 20:08:30,46.258064,14.418262,45057.52,19219.53,40752.79
2024-07-10 20:08:40,46.257946,14.418305,44699.65,19311.17,40313
2024-07-10 20:08:50,46.257832,14.418331,44941.1,19018.02,40718.76
2024-07-10 20:09:00,46.257698,14.418337,45049.63,19566.55,40578.56
2024-07-10 20:09:10,46.257565,14.418377,44939.05,19073.49,40690.54
2024-07-10 20:09:20,46.257473,14.418408,45242.73,19477.62,40835.36
2024-07-10 20:09:30,46.257336,14.418445,45098.64,19874.47,40483.24
2024-07-10 20:09:40,46.257221,14.418478,45620.21,19725.45,41135.27
2024-07-10 20:09:50,46.25708,14.41852,45653.37,19647.18,41209.45
2024-07-10 20:10:00,46.256966,14.418561,45416.8,20076.19,40738.59
2024-07-10 20:10:10,46.256851,14.418596,45148.48,20013.62,40470.25
2024-07-10 20:10:20,46.256729,14.418638,45270.15,19306.07,40947.07
2024-07-10 20:10:30,46.256615,14.41868,45291.17,19791.03,40738.25
2024-07-10 20:10:40,46.256496,14.418715,45569.68,19976.5,40957.73
2024-07-10 20:10:50,46.256386,14.418758,45494.12,19965.34,40879.09
2024-07-10 20:11:00,46.256268,14.418793,45185.81,19447.33,40786.75
2024-07-10 20:11:10,46.256157,14.418839,45476.65,19775.94,40951.65
2024-07-10 20:11:20,46.256035,14.418864,45636.17,19594.07,41215.68
2024-07-10 20:11:30,46.25592,14.418897,45293.84,19572.21,40846.79
2024-07-10 20:11:40,46.255802,14.418923,45053.16,19709.88,40513.05
2024-07-10 20:11:50,46.255688,14.418952,45541.03,19359.86,41221.12
2024-07-10 20:12:00,46.255627,14.419013,48575.65,26060.01,40993.53
2024-07-10 20:12:10,46.25563,14.419013,48550.25,25436.59,41353.43
2024-07-10 20:12:20,46.255642,14.419048,47545.41,23880.67,41113.01
2024-07-10 20:12:30,46.255653,14.4192,47489.43,24204.71,40858.02
2024-07-10 20:12:40,46.255672,14.419338,47973,24848.72,41035.95
2024-07-10 20:12:50,46.25568,14.419491,47890.5,24230.63,41308.31
2024-07-10 20:13:00,46.255703,14.419646,47537.92,24133.38,40956.48
2024-07-10 20:13:10,46.255722,14.419793,48000.74,24572.16,41234.45
2024-07-10 20:13:20,46.255749,14.419934,47810.34,24211.04,41226.86
2024-07-10 20:13:30,46.255775,14.42009,48219.79,24471.31,41548.8
2024-07-10 20:13:40,46.255806,14.420231,48125.1,25240.62,40974.82
2024-07-10 20:13:50,46.255829,14.420373,48000.36,24284.69,41403.96
2024-07-10 20:14:00,46.255875,14.420517,48112.97,24297.2,41527.15
2024-07-10 20:14:10,46.255901,14.420665,47996.39,24456.58,41298.05
2024-07-10 20:14:20,46.255928,14.420817,48273.54,24690.67,41481.38
2024-07-10 20:14:30,46.255951,14.420961,48004.35,23967.59,41592.94
2024-07-10 20:14:40,46.255981,14.421121,48252,25065.88,41230.53
2024-07-10 20:14:50,46.256023,14.421247,47864.87,25263.77,40654.49
2024-07-10 20:15:00,46.256065,14.421388,47792.24,24386.59,41102.21
2024-07-10 20:15:10,46.256092,14.421533,48118.45,25006.82,41110.14
2024-07-10 20:15:20,46.256138,14.421684,48158.07,24551.79,41429.57
2024-07-10 20:15:30,46.256176,14.421841,48385.37,24797.1,41548.14
2024-07-10 20:15:40,46.256203,14.42198,48377.92,24811.22,41531.03
2024-07-10 20:15:50,46.256245,14.422132,48343.71,24971.21,41395.09
2024-07-10 20:16:00,46.256287,14.422277,48264.69,24742.29,41440.3
2024-07-10 20:16:10,46.256321,14.422433,48096.79,23920.82,41726.43
2024-07-10 20:16:20,46.256363,14.422576,48198.2,25076.41,41161.14
2024-07-10 20:16:30,46.256393,14.422688,48249.69,26316.33,40441.1
2024-07-10 20:16:40,46.256432,14.422835,47786.34,25101.82,40662.43
2024-07-10 20:16:50,46.256454,14.422999,47644.58,24912.95,40612.2
2024-07-10 20:17:00,46.2565,14.423155,47397.48,25101.13,40205.15
2024-07-10 20:17:10,46.256569,14.423292,47976.62,25316.89,40753.05
2024-07-10 20:17:20,46.256615,14.42342,48080.22,25788.09,40579.33
2024-07-10 20:17:30,46.256615,14.423462,46835.39,26158.52,38849.53
2024-07-10 20:17:40,46.256668,14.423566,46899.45,25515.36,39351.3
2024-07-10 20:17:50,46.256733,14.423701,48786.91,27363.33,40390.72
2024-07-10 20:18:00,46.256794,14.423799,45174.33,25419.14,37344.17
2024-07-10 20:18:10,46.256893,14.423923,47732.97,25279.54,40489.28
2024-07-10 20:18:20,46.256969,14.42405,48186.7,25885.42,40643.61
2024-07-10 20:18:30,46.257046,14.424161,47977.64,25944.15,40357.83
2024-07-10 20:18:40,46.25713,14.424264,47605.69,25102.8,40449.37
2024-07-10 20:18:50,46.257225,14.424363,48319.89,26027.01,40711.26
2024-07-10 20:19:00,46.257324,14.424438,49907.02,23727.89,43905.56
2024-07-10 20:19:10,46.257435,14.424519,47725.99,25492.95,40346.99
2024-07-10 20:19:20,46.257523,14.424578,48483.43,25518.07,41224.64
2024-07-10 20:19:30,46.257614,14.424589,46777.08,24446.72,39880.48
2024-07-10 20:19:40,46.257652,14.424574,50977.39,14482.1,48877.02
2024-07-10 20:19:50,46.257652,14.42458,50876.5,21730.49,46002.22
2024-07-10 20:20:00,46.257648,14.424582,49224.88,24269.63,42826.08
2024-07-10 20:20:10,46.257698,14.424626,41630.03,20767.09,36080.29
2024-07-10 20:20:20,46.257713,14.424626,36832.78,15872.95,33237.08
2024-07-10 20:20:30,46.257637,14.42464,45429.37,21063.92,40250.95
2024-07-10 20:20:40,46.257641,14.424627,45697.75,21090.92,40539.58
2024-07-10 20:20:50,46.257645,14.424619,46063.18,21830.63,40561.55
2024-07-10 20:20:59,46.257664,14.424592,43274.79,20431.52,38147.88
2024-07-10 20:21:09,46.257656,14.424638,61589.73,48768.95,37614.95
2024-07-10 20:21:19,46.257668,14.424628,44983.13,19314.01,40625.75
2024-07-10 20:21:30,46.257679,14.424592,44854.06,22725.6,38670.84
2024-07-10 20:21:40,46.257675,14.42459,45886.29,23019.41,39694.56
2024-07-10 20:21:49,46.257675,14.42458,45550.01,23635.76,38937.83
2024-07-10 20:21:59,46.257668,14.424582,46040.35,23558.77,39556.26
2024-07-10 20:22:10,46.257671,14.424582,45682.37,23647.74,39085.34
2024-07-10 20:22:20,46.257668,14.4246,45352.03,22236.54,39526.48
