Time (UTC),Latitude (deg),Longitude (deg), Total Field (nT), Horizontal Component (nT), Vertical Component (nT)
2024-06-28 11:08:59,46.257523,14.424361,45059.14,25367.43,37240.03
2024-06-28 11:09:09,46.257523,14.424361,45059.14,25342.95,37256.69
2024-06-28 11:09:19,46.257523,14.424361,45059.12,25337.93,37260.08
2024-06-28 11:09:29,46.257523,14.424361,45059.12,25338.18,37259.91
2024-06-28 11:09:39,46.257523,14.424361,45059.13,25305.48,37282.13
2024-06-28 11:09:49,46.257523,14.424361,45059.17,25300.92,37285.29
2024-06-28 11:09:59,46.257523,14.424361,45059.25,25306.66,37281.48
2024-06-28 11:10:09,46.257523,14.424361,45059.16,25327.4,37267.29
2024-06-28 11:10:19,46.257523,14.424361,45059.13,25317.96,37273.66
2024-06-28 11:10:29,46.257523,14.424361,45059.16,25313.59,37276.66
2024-06-28 11:10:39,46.257523,14.424361,45059.12,25306.57,37281.38
2024-06-28 11:10:49,46.257523,14.424361,45059.12,25316.05,37274.96
2024-06-28 11:10:59,46.257523,14.424361,45059.13,25320.56,37271.89
2024-06-28 11:11:09,46.257523,14.424361,45059.12,25323.84,37269.66
2024-06-28 11:11:19,46.257523,14.424361,45059.22,25313.87,37276.55
2024-06-28 11:11:29,46.257523,14.424361,45059.14,25288.15,37293.91
2024-06-28 11:11:39,46.257523,14.424361,45059.14,25314.62,37275.95
2024-06-28 11:11:49,46.257523,14.424361,45059.14,25311.88,37277.8
2024-06-28 11:11:59,46.257523,14.424361,45059.14,25312.91,37277.11
2024-06-28 11:12:09,46.257523,14.424361,45059.13,25320.01,37272.27
2024-06-28 11:12:19,46.257523,14.424361,45059.13,25334.68,37262.31
2024-06-28 11:12:29,46.257523,14.424361,45059.12,25336.06,37261.35
2024-06-28 11:12:39,46.257523,14.424361,45059.12,25296.68,37288.1
2024-06-28 11:12:49,46.257523,14.424361,45059.13,25315.04,37275.65
2024-06-28 11:12:59,46.257523,14.424361,45059.13,25323.32,37270.02
2024-06-28 11:13:09,46.257523,14.424361,45059.16,25342.81,37256.8
2024-06-28 11:13:19,46.257523,14.424361,45059.12,25351.09,37251.13
2024-06-28 11:13:29,46.257523,14.424361,45059.22,25373.38,37236.07
2024-06-28 11:13:40,46.257523,14.424361,45435.71,26838.17,36662.19
2024-06-28 11:13:50,46.257523,14.424361,45400.55,26915.42,36561.86
2024-06-28 11:14:00,46.257523,14.424361,45466.8,26805.44,36724.63
2024-06-28 11:14:10,46.257523,14.424361,45486.55,26938.25,36651.84
2024-06-28 11:14:20,46.257523,14.424361,45490.04,26616.78,36890.25
2024-06-28 11:14:30,46.257523,14.424361,45088.66,26873.74,36204.82
2024-06-28 11:14:40,46.257523,14.424361,45153.07,26481.22,36572.45
2024-06-28 11:14:50,46.257523,14.424361,45488.23,26869.78,36704.14
2024-06-28 11:15:00,46.257523,14.424361,45141.87,26711.55,36390.68
2024-06-28 11:15:10,46.257523,14.424361,45701.98,26909.66,36939.69
2024-06-28 11:15:20,46.257523,14.424361,45835.72,26761.61,37211.95
2024-06-28 11:15:30,46.257523,14.424361,45345.82,26713.84,36641.7
2024-06-28 11:15:40,46.257523,14.424361,45628.64,26671.57,37021.61
2024-06-28 11:15:50,46.257523,14.424361,45564.08,26774.69,36867.35
2024-06-28 11:16:00,46.257523,14.424361,45523.87,26805.46,36795.24
2024-06-28 11:16:10,46.257523,14.424361,45323.66,26600.47,36696.72
2024-06-28 11:16:20,46.257523,14.424361,45711,26520.71,37231
2024-06-28 11:16:30,46.257523,14.424361,45164.88,26525.11,36555.22
2024-06-28 11:16:40,46.257523,14.424361,45134.25,26738.83,36361.18
2024-06-28 11:16:50,46.257523,14.424361,45307.28,26273.84,36911.18
2024-06-28 11:17:00,46.257523,14.424361,44724.34,26306.34,36169.64
2024-06-28 11:17:10,46.257523,14.424361,45553.34,26917.28,36750.05
2024-06-28 11:17:20,46.257523,14.424361,45604.57,26781.84,36912.19
2024-06-28 11:17:30,46.257523,14.424361,45304.38,26493.33,36750.37
2024-06-28 11:17:40,46.257523,14.424361,45487.95,26546.92,36937.98
2024-06-28 11:17:50,46.257523,14.424361,45001.43,26361.22,36472.11
2024-06-28 11:18:00,46.257523,14.424361,45349.59,26845.5,36550.02
2024-06-28 11:18:10,46.257523,14.424361,45677.57,26798.65,36990.17
2024-06-28 11:18:20,46.257523,14.424361,45383.29,26652.8,36732.43
2024-06-28 11:18:30,46.257523,14.424361,45288.18,26542.18,36695.12
2024-06-28 11:18:40,46.257523,14.424361,45316.55,26818.2,36529.08
2024-06-28 11:18:50,46.257523,14.424361,45255.59,26750.24,36503.34
2024-06-28 11:19:00,46.257523,14.424361,44706.42,26333.53,36127.68
2024-06-28 11:19:10,46.257523,14.424361,45167.17,26765.22,36382.64
2024-06-28 11:19:20,46.257523,14.424361,45335.55,26610.7,36703.98
2024-06-28 11:19:30,46.257523,14.424361,45091.49,26507.01,36477.67
2024-06-28 11:19:40,46.257523,14.424361,45254.52,26424.68,36738.37
2024-06-28 11:19:50,46.257523,14.424361,45025.67,26420.03,36459.47
2024-06-28 11:20:00,46.257523,14.424361,44939.32,26483.24,36306.76
2024-06-28 11:20:10,46.257523,14.424361,45269.96,26704.52,36554.59
2024-06-28 11:20:20,46.257523,14.424361,45630.42,26662.6,37030.28
2024-06-28 11:20:30,46.257523,14.424361,45182.49,26615.17,36511.5
2024-06-28 11:20:40,46.257523,14.424361,45047.65,26376.21,36518.3
2024-06-28 11:20:50,46.257523,14.424361,45027.58,26135.99,36665.96
2024-06-28 11:21:00,46.257523,14.424361,45251.95,26488.36,36689.32
2024-06-28 11:21:10,46.257523,14.424361,45407.35,26615.41,36789.22
2024-06-28 11:21:20,46.257523,14.424361,45246.19,26650.45,36564.61
2024-06-28 11:21:30,46.257523,14.424361,44949.14,26508.83,36300.23
2024-06-28 11:21:40,46.257523,14.424361,45258.1,26542.44,36657.8
2024-06-28 11:21:50,46.257523,14.424361,45050.13,26498.09,36433.03
2024-06-28 11:22:00,46.257523,14.424361,45672.45,26841.19,36952.98
2024-06-28 11:22:10,46.257523,14.424361,45260.11,26687.38,36554.91
