Time (UTC),Latitude (deg),Longitude (deg), Total Field (nT), Horizontal Component (nT), Vertical Component (nT)
2024-07-14 09:18:24,46.25758,14.424512,46364.68,26389.42,38121.94
2024-07-14 09:18:34,46.257458,14.424464,46364.7,26373.59,38132.92
2024-07-14 09:18:44,46.257458,14.424464,46364.7,26384.81,38125.16
2024-07-14 09:18:54,46.2575,14.424376,46364.68,26380.14,38128.36
2024-07-14 09:19:04,46.257504,14.424391,46364.74,26399.97,38114.71
2024-07-14 09:19:14,46.257488,14.424398,46364.67,26433.14,38091.62
2024-07-14 09:19:24,46.257484,14.424394,46364.68,26425.76,38096.76
2024-07-14 09:19:34,46.257462,14.424384,46364.71,26411.28,38106.83
2024-07-14 09:19:44,46.257469,14.424394,46364.68,26425.97,38096.61
2024-07-14 09:19:54,46.257526,14.42441,46364.67,26407.62,38109.32
2024-07-14 09:20:04,46.257538,14.424423,46364.79,26411.03,38107.11
2024-07-14 09:20:14,46.257515,14.424392,46364.67,26400.47,38114.28
2024-07-14 09:20:24,46.257526,14.424394,46364.85,26402.59,38113.02
2024-07-14 09:20:34,46.257534,14.424398,46364.75,26401.09,38113.95
2024-07-14 09:20:44,46.257534,14.424394,46364.95,26425.2,38097.47
2024-07-14 09:20:54,46.257538,14.424381,46364.67,26435.6,38089.91
2024-07-14 09:21:04,46.257553,14.42439,46364.67,26419.29,38101.23
2024-07-14 09:21:14,46.257545,14.4244,46365.01,26428.76,38095.07
2024-07-14 09:21:25,46.257542,14.424399,46839.72,26602.42,38552.18
2024-07-14 09:21:35,46.257565,14.424425,46544.64,26162.94,38495.51
2024-07-14 09:21:45,46.257542,14.424409,46837.48,26500.51,38619.59
2024-07-14 09:21:55,46.257557,14.424407,46694,26411.12,38506.92
2024-07-14 09:22:05,46.257561,14.42441,46516.58,26495.71,38233.09
2024-07-14 09:22:15,46.257538,14.424394,46833.66,26660.23,38504.86
2024-07-14 09:22:25,46.257542,14.424403,47027.48,26948.85,38540.15
2024-07-14 09:22:35,46.257542,14.424402,46928.6,26782.7,38535.45
2024-07-14 09:22:45,46.257526,14.424403,46991.06,26834.97,38575.18
2024-07-14 09:22:55,46.257515,14.424408,47193.02,26990.57,38712.92
2024-07-14 09:23:05,46.257504,14.424417,46998.33,26828.83,38588.3
2024-07-14 09:23:15,46.2575,14.424417,46867.32,26720.94,38503.73
2024-07-14 09:23:25,46.2575,14.424413,46725.95,26914.49,38195.86
2024-07-14 09:23:35,46.257504,14.424405,46736.64,26700.41,38358.85
2024-07-14 09:23:45,46.257511,14.424401,46921.3,26766.54,38537.79
2024-07-14 09:23:55,46.257523,14.424384,46956.33,26877.26,38503.38
2024-07-14 09:24:05,46.257515,14.424382,47252.13,27037.07,38752.56
2024-07-14 09:24:15,46.257515,14.424373,46896.96,26940.07,38386.95
2024-07-14 09:24:25,46.257511,14.424366,46826.86,26789.56,38406.7
2024-07-14 09:24:35,46.257519,14.424365,47029.42,26911.5,38568.61
2024-07-14 09:24:45,46.257515,14.424365,46857.77,26868.79,38389.05
2024-07-14 09:24:55,46.257507,14.424361,46934.23,26712.71,38590.85
2024-07-14 09:25:05,46.257507,14.424364,47055.17,27013.5,38528.68
2024-07-14 09:25:15,46.257507,14.424366,46958.9,26738.04,38603.31
2024-07-14 09:25:25,46.257519,14.42437,46863.1,26780.11,38457.46
2024-07-14 09:25:35,46.257515,14.424365,46813.4,27010.3,38235.3
2024-07-14 09:25:45,46.257519,14.424376,46594.8,26681.11,38199.39
2024-07-14 09:25:55,46.257526,14.424382,46797.46,26858,38322.98
