Time (UTC),Latitude (deg),Longitude (deg), Total Field (nT), Horizontal Component (nT), Vertical Component (nT)
2024-08-22 06:06:11,46.060287,14.515865,50435.51,44919.93,-22933.4
2024-08-22 06:06:21,46.060326,14.515841,9087.4,8107.08,-4105.6
2024-08-22 06:06:31,46.060303,14.515832,15194.25,13708.4,-6553.23
2024-08-22 06:06:41,46.060307,14.515834,37168.52,17082.26,33010.53
2024-08-22 06:06:51,46.060303,14.515833,46123.41,29536.26,35425.67
2024-08-22 06:07:01,46.060196,14.515777,19195.1,16932.32,9041.48
2024-08-22 06:07:11,46.060139,14.515715,52733.27,33047.33,41093.44
2024-08-22 06:07:21,46.060139,14.515715,31898.31,12107.46,29511.21
2024-08-22 06:08:31,46.060314,14.514296,41231.79,24023.68,33510.05
2024-08-22 06:08:41,46.060127,14.514587,37941.77,19708.02,32421.78
2024-08-22 06:08:51,46.060314,14.514482,47860.49,24367.15,41193.07
2024-08-22 06:09:01,46.060509,14.514276,44526.46,23533.72,37799.07
2024-08-22 06:09:11,46.06057,14.51407,46469.73,26004.19,38512.58
2024-08-22 06:09:21,46.060581,14.51382,53771.28,32978.04,42471.16
2024-08-22 06:09:31,46.060493,14.513649,39980.84,26733.39,29728.66
2024-08-22 06:09:41,46.060444,14.513448,56876.61,20445.51,53074.75
2024-08-22 06:09:51,46.06028,14.513428,49972.6,21261.03,45224.21
2024-08-22 06:10:01,46.060127,14.513333,46595.79,19005.66,42543.54
2024-08-22 06:10:11,46.060024,14.513174,68518.3,32642.07,60243.29
2024-08-22 06:10:21,46.059914,14.512985,43567.48,23139.94,36914.35
2024-08-22 06:10:31,46.059845,14.512899,48896.36,22021.69,43656.6
2024-08-22 06:10:41,46.059696,14.512866,49098.02,23777.72,42956.2
2024-08-22 06:10:51,46.059605,14.512898,48982.82,24738.61,42276.68
2024-08-22 06:11:01,46.059589,14.512972,45332.87,21980.31,39647.64
2024-08-22 06:11:11,46.059429,14.512985,45816.56,22671.77,39813.92
2024-08-22 06:11:21,46.059349,14.512938,53407.08,21332.86,48961.47
2024-08-22 06:11:31,46.059349,14.512938,40635.32,24524.88,32400
2024-08-22 06:11:41,46.059273,14.512899,45106.86,29079.91,34481.7
2024-08-22 06:11:51,46.05941,14.512962,32086.43,21286.88,24008.5
2024-08-22 06:12:01,46.059444,14.512978,37958.12,28478.43,25095.78
2024-08-22 06:12:11,46.059444,14.512978,35240.04,5094.96,34869.78
2024-08-22 06:12:21,46.058464,14.512936,44145.18,29061.68,33229.75
2024-08-22 06:12:31,46.058266,14.512925,45854.83,39561.26,23185.61
2024-08-22 06:12:41,46.058212,14.51269,40019.85,26438.99,30042.77
2024-08-22 06:12:51,46.058258,14.512654,38256.54,16651.99,34442.33
2024-08-22 06:13:01,46.058254,14.512491,43482.7,22956.07,36929.17
2024-08-22 06:13:11,46.058167,14.512158,49880.95,36268.2,34245.09
2024-08-22 06:13:21,46.058128,14.511908,44040.4,23763.93,37078.73
2024-08-22 06:13:31,46.058109,14.511676,44721.23,23625.89,37971.12
2024-08-22 06:13:41,46.058102,14.511423,46983.48,23895.79,40452.92
2024-08-22 06:13:51,46.058014,14.511266,46097.62,21350.23,40855.34
2024-08-22 06:14:01,46.057907,14.511123,43307.02,21338.98,37684.82
2024-08-22 06:14:11,46.057896,14.510884,44488.95,20931.72,39257.22
2024-08-22 06:14:21,46.05788,14.510684,48515.34,25570.17,41229.89
2024-08-22 06:14:31,46.057896,14.51047,37060,19274.55,31653.36
2024-08-22 06:14:41,46.057861,14.510281,44607.53,24307.52,37402.89
2024-08-22 06:14:51,46.0578,14.510055,47231.57,27750.25,38219.68
2024-08-22 06:15:01,46.057808,14.509813,44526.2,21213.42,39148.09
2024-08-22 06:15:11,46.057709,14.509683,38493.87,20925.99,32309.14
2024-08-22 06:15:21,46.057541,14.50953,38892.68,23950.46,30643.37
2024-08-22 06:15:31,46.057491,14.509302,46104.34,24980.51,38750.29
2024-08-22 06:15:41,46.05759,14.50921,46725.75,23905.79,40147.34
2024-08-22 06:15:51,46.057613,14.50894,44870.68,22812.36,38639.03
2024-08-22 06:16:01,46.057598,14.508766,45756.88,23368.04,39339.88
2024-08-22 06:16:11,46.057663,14.508686,47172.11,23784.38,40737.1
2024-08-22 06:16:21,46.057663,14.508686,46406.54,23778.11,39851.83
