Time (UTC),Latitude (deg),Longitude (deg), Total Field (nT), Horizontal Component (nT), Vertical Component (nT)
2024-04-24 04:43:01,46.256363,14.423062,99751.93,85949.62,-50627.17
2024-04-24 04:43:11,46.2556,14.42272,112482.68,83535.73,-75326.86
2024-04-24 04:43:21,46.254604,14.42248,112149.7,80945.02,-77623.83
2024-04-24 04:43:31,46.25428,14.422404,76526.48,74073.36,-19220.79
2024-04-24 04:43:41,46.253387,14.421988,75812.97,73842.09,-17174.14
2024-04-24 04:43:51,46.25219,14.421567,76984.65,75014.2,-17306.27
2024-04-24 04:44:01,46.251076,14.421072,75313.11,72696.92,-19677.95
2024-04-24 04:44:11,46.250557,14.4205,67094.35,55831.47,-37208.86
2024-04-24 04:44:21,46.250256,14.420384,69214.28,61403.23,-31941.52
2024-04-24 04:44:31,46.249359,14.420262,70799.49,62527.62,-33209.42
2024-04-24 04:44:41,46.248226,14.420091,69176.37,59321.94,-35584.8
2024-04-24 04:44:51,46.247162,14.42023,56267.02,47274.52,-30513.88
2024-04-24 04:45:01,46.246109,14.420169,59035.82,50428.1,-30695.84
2024-04-24 04:45:11,46.245079,14.419883,58640.66,50346.1,-30066.56
2024-04-24 04:45:21,46.243996,14.419444,58579.4,49449.32,-31405.59
2024-04-24 04:45:31,46.24337,14.419154,58761.77,48755.59,-32799.98
2024-04-24 04:45:41,46.242992,14.419272,51938.16,46709.68,-22710.75
2024-04-24 04:45:51,46.242031,14.419309,52240.17,48671.15,-18977.74
2024-04-24 04:46:02,46.240494,14.419218,51257.88,46934.34,-20604.32
2024-04-24 04:46:12,46.239063,14.41925,51931.15,47424.02,-21161.44
2024-04-24 04:46:22,46.237686,14.418878,51602.36,46753.91,-21837.48
2024-04-24 04:46:32,46.237034,14.418624,53747.31,47872.65,-24433.22
2024-04-24 04:46:42,46.236633,14.418511,40856.96,35800.16,-19688.57
2024-04-24 04:46:52,46.236679,14.419805,28234.22,24411.95,-14185.48
2024-04-24 04:47:02,46.236568,14.421918,28305.44,25008.09,-13258.71
2024-04-24 04:47:12,46.236477,14.424429,27729.38,25266.44,-11424.8
2024-04-24 04:47:22,46.23642,14.427011,27955.06,25547.6,-11349.25
2024-04-24 04:47:32,46.236355,14.429528,27656.43,25456.69,-10809.02
2024-04-24 04:47:42,46.236225,14.431721,25753.15,24047.09,-9217.49
2024-04-24 04:47:52,46.2355,14.43203,16283.8,10045.26,-12816.19
2024-04-24 04:48:02,46.233932,14.432002,14233.95,6105.05,-12858.22
2024-04-24 04:48:12,46.232189,14.433615,15806.03,9603.15,-12554.29
2024-04-24 04:48:22,46.230461,14.435729,18867.91,14065.62,-12576.02
2024-04-24 04:48:32,46.229015,14.438432,20315.13,15963.75,-12564.36
2024-04-24 04:48:42,46.227394,14.440782,14656.98,9035,-11541.06
2024-04-24 04:48:52,46.225281,14.441767,13502.67,6987.22,-11554.26
2024-04-24 04:49:02,46.22311,14.441164,18457.1,14095.95,-11915.06
2024-04-24 04:49:12,46.221355,14.439577,19859.52,16452.19,-11123.21
2024-04-24 04:49:22,46.219765,14.43821,20429.77,17827,-9978.66
2024-04-24 04:49:32,46.218563,14.436978,30232.84,27256.34,-13081.17
2024-04-24 04:49:42,46.219109,14.435855,19500.12,19278.68,2930.43
2024-04-24 04:49:52,46.219566,14.437132,18556.46,17823.37,5164.29
2024-04-24 04:50:02,46.218475,14.439176,17831,17826.93,381.05
2024-04-24 04:50:12,46.217026,14.44172,18051.22,18050.7,-136.94
2024-04-24 04:50:22,46.215405,14.444531,17774.88,17759.26,-745.12
2024-04-24 04:50:32,46.213505,14.447646,17893.69,17851.53,-1227.56
2024-04-24 04:50:42,46.211525,14.450742,17371.81,17366.52,-428.77
2024-04-24 04:50:52,46.209476,14.453842,17376.28,17361.09,-726.47
2024-04-24 04:51:02,46.207363,14.456893,17443.22,17440.83,-289.08
2024-04-24 04:51:12,46.205368,14.459642,17236.51,17217.65,-806.03
2024-04-24 04:51:22,46.203407,14.462287,17741.8,17716.56,-945.98
2024-04-24 04:51:32,46.201523,14.464759,17539.28,17521.77,-783.53
2024-04-24 04:51:42,46.199844,14.466876,17643.92,17605.47,-1164.18
2024-04-24 04:51:52,46.198563,14.468518,17802.86,17756.94,-1277.93
2024-04-24 04:52:02,46.197495,14.469813,18071.91,18050.21,-885.43
2024-04-24 04:52:12,46.196526,14.470963,17475.97,17465.47,-605.61
2024-04-24 04:52:22,46.19556,14.472088,17005.11,16988.03,-761.93
2024-04-24 04:52:32,46.194424,14.473396,17320.67,17319.11,-232.2
2024-04-24 04:52:42,46.193115,14.474863,17260.12,17253.21,-488.65
