Time (UTC),Latitude (deg),Longitude (deg), Total Field (nT), Horizontal Component (nT), Vertical Component (nT)
2024-07-04 05:05:43,46.257679,14.424727,26384.46,23982.51,-10999.05
2024-07-04 05:05:53,46.25766,14.424681,6124.92,6069.7,820.64
2024-07-04 05:06:03,46.257183,14.424293,12875.89,12860.41,631.11
2024-07-04 05:06:13,46.256733,14.423646,16268.07,16265.65,-280.65
2024-07-04 05:06:23,46.256458,14.422945,21208.06,21193.01,-798.9
2024-07-04 05:06:33,46.25618,14.421872,16778.79,16755.95,875.25
2024-07-04 05:06:43,46.255859,14.420412,18056.51,18035.26,875.77
2024-07-04 05:06:53,46.255642,14.419074,20928.61,20760.33,2648.68
2024-07-04 05:07:03,46.255627,14.418951,19085.8,19042.13,1290.32
2024-07-04 05:07:13,46.255104,14.419026,8988.42,8604.1,2600.22
2024-07-04 05:07:23,46.25359,14.419645,7703.03,7424.12,2054.05
2024-07-04 05:07:33,46.251965,14.420041,7494.9,7280.09,1781.52
2024-07-04 05:07:43,46.250538,14.420378,6727.5,6601.7,1294.93
2024-07-04 05:07:53,46.249332,14.420259,17268.95,16547.23,4940.25
2024-07-04 05:08:03,46.248253,14.4201,18200.23,17877.41,3412.71
2024-07-04 05:08:13,46.247349,14.420145,16952.68,16886.79,1493.23
2024-07-04 05:08:23,46.246433,14.420229,16575.52,16247.03,3283.58
2024-07-04 05:08:33,46.245502,14.420014,16127.58,15869.15,2875.52
2024-07-04 05:08:43,46.244629,14.419701,14766.92,14713.57,-1254.08
2024-07-04 05:08:53,46.243763,14.419329,13722.32,13578.91,-1978.72
2024-07-04 05:09:03,46.243221,14.41909,17031.47,17012.54,-802.64
2024-07-04 05:09:13,46.242558,14.419326,14370.81,14306.59,-1357.15
2024-07-04 05:09:23,46.24168,14.419302,14770.3,14649.37,-1886.13
2024-07-04 05:09:33,46.240768,14.419225,15518.87,15489.45,-955.12
2024-07-04 05:09:43,46.239792,14.419247,15068.71,15038.56,-952.87
2024-07-04 05:09:53,46.238773,14.419227,13798,13732.68,-1341
2024-07-04 05:10:03,46.237785,14.418914,13742.61,13728.14,-630.58
2024-07-04 05:10:13,46.237114,14.418656,12948.29,12515.56,-3319.5
2024-07-04 05:10:23,46.236732,14.418432,15730.71,15662.69,-1461.28
2024-07-04 05:10:33,46.236717,14.41952,19623.99,19565.58,-1512.93
2024-07-04 05:10:43,46.236595,14.421417,20197.59,20144.96,-1457.06
2024-07-04 05:10:53,46.236492,14.423735,18030.65,17919.23,-2001.42
2024-07-04 05:11:03,46.236446,14.426132,18578.87,18502.46,-1683.28
2024-07-04 05:11:13,46.236393,14.428521,18329.71,18011.01,-3403.22
2024-07-04 05:11:23,46.236282,14.430896,16326.81,16112.14,-2638.87
2024-07-04 05:11:33,46.23613,14.432154,17656.46,17606.98,-1320.93
2024-07-04 05:11:43,46.235306,14.431923,18680.34,18677,353.24
2024-07-04 05:11:53,46.233849,14.432059,19649.84,19422.32,-2981.53
2024-07-04 05:12:03,46.232414,14.433392,19688.14,19646.53,-1279.46
2024-07-04 05:12:13,46.23085,14.435168,19147.8,18918.8,-2952.52
2024-07-04 05:12:23,46.229534,14.437449,19487.88,19265.41,-2936.21
2024-07-04 05:12:33,46.228287,14.439733,17805.66,17715.37,-1790.84
2024-07-04 05:12:43,46.226711,14.441316,19266.75,19185.1,-1771.93
2024-07-04 05:12:53,46.224884,14.441795,19620.36,19549.12,-1670.47
2024-07-04 05:13:03,46.223091,14.441163,20074.86,19909.73,-2569.54
2024-07-04 05:13:13,46.221577,14.439766,19646.5,19539.63,-2046.41
2024-07-04 05:13:23,46.220085,14.438447,18163.99,18083.44,-1708.65
2024-07-04 05:13:33,46.218719,14.43728,20450.78,20447.38,372.84
2024-07-04 05:13:43,46.21888,14.435917,22702.85,22365.05,-3901.78
2024-07-04 05:13:53,46.219654,14.436683,18295.19,17888.8,3834.68
2024-07-04 05:14:03,46.218853,14.438481,20356.56,19470.56,5940.26
2024-07-04 05:14:13,46.217377,14.44113,20574.25,19930.98,5104.49
2024-07-04 05:14:23,46.215618,14.444138,19913.29,19260.47,5056.99
2024-07-04 05:14:33,46.213787,14.447146,20502.23,20052.53,4270.56
2024-07-04 05:14:43,46.212017,14.449952,20500.87,19987.74,4558.02
2024-07-04 05:14:53,46.210487,14.452296,20136.89,19715.34,4098.77
2024-07-04 05:15:03,46.209038,14.454449,20432.32,19919.15,4550.52
2024-07-04 05:15:13,46.207714,14.45636,20500.93,20006.72,4474.31
2024-07-04 05:15:23,46.206364,14.458276,20437.52,19767.86,5188.8
2024-07-04 05:15:33,46.204887,14.460325,20121.45,19640.79,4371.71
2024-07-04 05:15:43,46.20311,14.462769,19810.62,19176.16,4973.49
2024-07-04 05:15:53,46.200954,14.465563,20356.23,19921.66,4183.71
2024-07-04 05:16:03,46.198746,14.468312,20604.77,20170.91,4206.02
2024-07-04 05:16:13,46.196396,14.471145,21578.76,21034.68,4815.11
2024-07-04 05:16:23,46.193645,14.473077,20386.79,19848.93,4652.01
2024-07-04 05:16:33,46.191502,14.47659,20701.97,20217.43,4452.8
2024-07-04 05:16:43,46.18895,14.479216,20607.48,20040.76,4799.61
2024-07-04 05:16:53,46.18623,14.481591,20832.96,20208.31,5063.24
2024-07-04 05:17:03,46.18338,14.48348,21316.66,20772.8,4784.43
2024-07-04 05:17:13,46.180485,14.484831,21898.52,21522.22,4042.19
2024-07-04 05:17:23,46.177929,14.485627,22183.17,21791.34,4150.98
2024-07-04 05:17:33,46.175549,14.486034,22397.3,21850.53,4918.68
2024-07-04 05:17:43,46.173195,14.486137,23313.81,22911.67,4311.51
2024-07-04 05:17:53,46.170841,14.485933,22704.51,22206.03,4731.48
2024-07-04 05:18:03,46.168491,14.485422,23438.7,23053.46,4232.06
2024-07-04 05:18:13,46.166183,14.48465,22792.49,22736.44,1597.56
2024-07-04 05:18:23,46.163868,14.483673,23162.53,22884.57,3577.59
2024-07-04 05:18:33,46.161751,14.482692,23090.65,22673.27,4370.47
2024-07-04 05:18:43,46.159737,14.481741,22857.77,22502.08,4016.69
2024-07-04 05:18:53,46.157803,14.48084,22639.34,22278.7,4024.81
2024-07-04 05:19:03,46.155792,14.479888,22893.03,22615.97,3550.84
2024-07-04 05:19:13,46.153866,14.478979,22264.82,22078.82,2871.97
2024-07-04 05:19:23,46.15192,14.478065,22302.18,21989.87,3719.27
2024-07-04 05:19:33,46.149975,14.477185,22297,21892.5,4227.83
2024-07-04 05:19:43,46.147762,14.476416,22241.97,21936.44,3673.95
2024-07-04 05:19:53,46.145386,14.475944,22341.01,22022.3,3760.17
2024-07-04 05:20:03,46.142952,14.475953,6415.16,6409.58,267.48
2024-07-04 05:20:13,46.140476,14.476462,8032.48,8024.54,357.16
2024-07-04 05:20:23,46.13802,14.477478,10699.38,10626.39,1247.61
2024-07-04 05:20:33,46.135571,14.478987,14125.62,14116.87,-497.2
2024-07-04 05:20:43,46.132889,14.480735,9325.26,6284.82,6889.23
2024-07-04 05:20:53,46.129917,14.48199,8210.7,4850.1,6625.11
