Time (UTC),Latitude (deg),Longitude (deg), Total Field (nT), Horizontal Component (nT), Vertical Component (nT)
2024-09-03 05:41:36,46.060337,14.515853,40893.97,27936.25,-29864.41
2024-09-03 05:41:46,46.060341,14.515845,12652.44,12172.88,-3450.41
2024-09-03 05:41:56,46.060219,14.515784,104444.84,78564.12,-68821.53
2024-09-03 05:42:06,46.060291,14.515853,21208.11,21006.12,2920.14
2024-09-03 05:42:16,46.060364,14.515849,17197.06,15580.96,7278.23
2024-09-03 05:42:26,46.060287,14.515851,29898.81,14669.55,26052.7
2024-09-03 05:42:36,46.060184,14.515751,36727.06,17268.21,32414.28
2024-09-03 05:42:46,46.060143,14.51572,36468.67,11310.07,34670.54
2024-09-03 05:42:56,46.060143,14.515718,47294.89,29359.66,37078.52
2024-09-03 05:43:06,46.060143,14.515718,57210.59,15260.61,55137.7
2024-09-03 05:44:06,46.060387,14.514642,43602.09,9031.37,42656.5
2024-09-03 05:44:16,46.060371,14.514521,38392.57,16149.97,34830.56
2024-09-03 05:44:26,46.060505,14.514532,43626.75,21342.33,38049.95
2024-09-03 05:44:36,46.060551,14.51436,42339.19,22204.01,36049.81
2024-09-03 05:44:46,46.060505,14.514159,57896.38,27298.63,51056.59
2024-09-03 05:44:56,46.06057,14.51386,42181.58,23962.35,34714.43
2024-09-03 05:45:06,46.060402,14.513817,44489.24,16790.62,41199.12
2024-09-03 05:45:16,46.0602,14.513825,42175.43,23974.08,34698.86
2024-09-03 05:45:26,46.060123,14.513631,44840.19,14152.33,42548.26
2024-09-03 05:45:36,46.060093,14.513398,51902.69,24535.83,45737.09
2024-09-03 05:45:46,46.06002,14.513268,40698.81,12463.74,38743.37
2024-09-03 05:45:56,46.059975,14.513079,44132.43,29849.36,32506.72
2024-09-03 05:46:06,46.059929,14.512944,46350.45,22716.96,40401.77
2024-09-03 05:46:16,46.059917,14.51294,47073.61,22542.21,41325.21
2024-09-03 05:46:26,46.059868,14.512959,43847.72,21801.39,38043.68
2024-09-03 05:46:36,46.059841,14.51293,43716.38,20195.19,38772.1
2024-09-03 05:46:46,46.059742,14.512889,45344.11,20362.72,40514.79
2024-09-03 05:46:56,46.059662,14.512877,46829.4,21712.31,41491.78
2024-09-03 05:47:06,46.059559,14.512927,48466.82,24092.12,42054.75
2024-09-03 05:47:16,46.059441,14.512976,43223.13,20434.64,38087.59
2024-09-03 05:47:26,46.059345,14.512976,53183.58,21961.68,48437.36
2024-09-03 05:47:36,46.059307,14.512979,34844.07,24082.64,25182.05
2024-09-03 05:47:46,46.059238,14.512988,37733.9,23587.42,29453.03
2024-09-03 05:47:56,46.05928,14.513,30941.93,21659.39,22096.92
2024-09-03 05:48:06,46.059299,14.513007,35947.14,25935.83,24890.36
2024-09-03 05:48:16,46.059299,14.513007,41578.15,12677.77,39598.19
2024-09-03 05:48:26,46.058239,14.512922,38029.94,26278.53,27490.27
2024-09-03 05:48:36,46.058186,14.512918,46643.53,31950.87,33981.77
2024-09-03 05:48:46,46.058594,14.512982,41295,20011.66,36122.16
2024-09-03 05:48:56,46.058289,14.512711,39767.43,18720.56,35085.46
2024-09-03 05:49:06,46.058292,14.512516,39675.83,20003.23,34264.3
2024-09-03 05:49:16,46.058201,14.512272,43059.35,21442.02,37340.96
2024-09-03 05:49:26,46.058151,14.512036,42869.45,24505.48,35174.86
2024-09-03 05:49:36,46.058128,14.511804,46289.44,22640.84,40374.55
2024-09-03 05:49:46,46.058132,14.511604,45572.19,23790.63,38869.4
2024-09-03 05:49:56,46.05809,14.511388,46001.64,22768.46,39971.84
2024-09-03 05:50:06,46.05801,14.511236,46124.55,21221.96,40952.44
2024-09-03 05:50:16,46.057919,14.511073,46234.62,23587.67,39765.09
2024-09-03 05:50:26,46.057899,14.510874,41963.23,19642.86,37081.95
2024-09-03 05:50:36,46.057892,14.510659,48398.02,22794.67,42693.93
2024-09-03 05:50:46,46.057865,14.510448,40678.18,24579.63,32412.29
2024-09-03 05:50:56,46.057865,14.510267,42868.56,21378.1,37157.64
2024-09-03 05:51:06,46.057854,14.510072,49067.58,24410.19,42564.89
2024-09-03 05:51:16,46.057899,14.509892,45697.39,23193.68,39373.91
2024-09-03 05:51:26,46.057793,14.509844,42929.36,22194.46,36746.92
2024-09-03 05:51:36,46.05769,14.509834,43967.31,25082.41,36110.9
2024-09-03 05:51:46,46.05769,14.509849,44478.23,24351.97,37219.55
2024-09-03 05:51:56,46.05769,14.509849,44313.06,24194.13,37125.34
2024-09-03 05:52:06,46.057697,14.509838,44189,24585.23,36718.31
2024-09-03 05:52:16,46.057697,14.509838,44388.25,24126.32,37259.06
2024-09-03 05:52:26,46.057697,14.509838,44167.48,23971.44,37096.31
2024-09-03 05:52:36,46.057716,14.509891,44053.3,24630.86,36524.16
2024-09-03 05:52:46,46.057709,14.50985,43019.95,22233.72,36829.04
2024-09-03 05:52:56,46.057587,14.509761,47245.54,26831.51,38887.15
2024-09-03 05:53:06,46.057518,14.509568,49337.57,27137.86,41203.55
2024-09-03 05:53:16,46.057549,14.509348,47411.79,26669.55,39199.65
2024-09-03 05:53:26,46.057507,14.509204,55683.24,27245.37,48562.46
2024-09-03 05:53:36,46.057503,14.508991,47662.51,26294.44,39753.2
2024-09-03 05:53:46,46.057491,14.508784,45828.43,23642.89,39258.87
2024-09-03 05:53:56,46.057518,14.508505,46608.98,22771.64,40667.55
2024-09-03 05:54:06,46.057552,14.50833,47728.8,28368.47,38383.17
2024-09-03 05:54:16,46.057529,14.508117,47627.38,26109.53,39832.89
2024-09-03 05:54:26,46.057476,14.507925,38876,9352.96,37734.14
2024-09-03 05:54:36,46.057533,14.507735,45137.93,17502.42,41606.46
2024-09-03 05:54:46,46.057491,14.507537,48208.55,30095.82,37660.41
2024-09-03 05:54:56,46.057529,14.507356,42735.75,21572.91,36891.11
2024-09-03 05:55:06,46.057404,14.507284,27099.28,13895.59,23265.5
2024-09-03 05:55:16,46.057377,14.507043,41491.69,24376.36,33576.09
2024-09-03 05:55:26,46.057232,14.507123,46455.48,18261.32,42715.76
2024-09-03 05:55:36,46.057152,14.50702,43232.35,22141.86,37131.85
2024-09-03 05:55:46,46.057156,14.50701,39006.55,27771.52,27390.76
2024-09-03 05:55:56,46.057148,14.506955,32355.37,22008.93,23716.59
2024-09-03 05:56:06,46.057442,14.506667,49642.74,25768.33,42431.06
2024-09-03 05:56:16,46.057556,14.506493,34835.28,22132.41,26900.8
2024-09-03 05:56:26,46.057556,14.506454,52701.32,16034.35,50202.88
2024-09-03 05:56:36,46.057556,14.506583,32778.89,14596.45,29349.6
2024-09-03 05:56:46,46.057556,14.506721,33254.17,12614.81,30768.59
2024-09-03 05:56:56,46.057556,14.506694,35610.46,18888.11,30188.48
2024-09-03 05:57:06,46.057556,14.506675,35502.65,18635.8,30218.29
2024-09-03 05:57:16,46.057556,14.506675,35244.75,18819.73,29799.5
2024-09-03 05:57:26,46.057556,14.506748,34892.06,18591.16,29526.67
2024-09-03 05:57:36,46.057556,14.506702,35124.68,18550.15,29826.74
2024-09-03 05:57:46,46.05756,14.506658,34878.52,18147.92,29785.3
2024-09-03 05:57:56,46.057556,14.506634,32166.99,18415.26,26374.1
2024-09-03 05:58:06,46.057556,14.506765,36545.07,16966.65,32367.81
2024-09-03 05:58:16,46.057556,14.506765,36823.09,16818.16,32758.05
2024-09-03 05:58:26,46.057552,14.506714,36745.69,16924.84,32615.88
2024-09-03 05:58:36,46.05756,14.506662,34926.15,18424.17,29671.3
2024-09-03 05:58:46,46.057556,14.506667,35059.13,18305.76,29900.53
2024-09-03 05:58:56,46.057552,14.506793,34906.41,18198.62,29787.04
2024-09-03 05:59:06,46.05756,14.506858,35332.48,18483.09,30112.45
2024-09-03 05:59:16,46.05756,14.506858,35477.82,18828.41,30069.36
2024-09-03 05:59:26,46.057556,14.506768,34977.1,18473.64,29700.54
2024-09-03 05:59:36,46.057556,14.506691,32149.66,8068.08,31120.84
2024-09-03 05:59:45,46.057556,14.506691,31907.47,7841.22,30928.98
2024-09-03 05:59:55,46.057556,14.506668,32159.56,7649.28,31236.61
2024-09-03 06:00:06,46.057556,14.506482,31586.54,6325.53,30946.68
2024-09-03 06:00:19,46.057556,14.506572,31334.42,6376.54,30678.75
