Time (UTC),Latitude (deg),Longitude (deg), Total Field (nT), Horizontal Component (nT), Vertical Component (nT)
2024-06-26 04:25:47,46.257702,14.424706,25066.47,22838.83,-10330.31
2024-06-26 04:25:56,46.257702,14.424726,25480.2,23324.09,-10258.05
2024-06-26 04:26:06,46.257702,14.424726,25409.39,23241.52,-10269.82
2024-06-26 04:26:16,46.25771,14.424664,25288.76,23071.27,-10355.57
2024-06-26 04:26:26,46.257702,14.424664,26838.29,25393.77,-8686.23
2024-06-26 04:26:36,46.257702,14.424676,20283.75,19202.02,-6535.5
2024-06-26 04:26:46,46.257378,14.424483,11016.8,7989.88,-7584.96
2024-06-26 04:26:56,46.256821,14.423844,16276.1,11785.18,-11225.9
2024-06-26 04:27:06,46.256275,14.422988,7623.95,4473.12,-6173.81
2024-06-26 04:27:16,46.255268,14.42259,7420.83,4342.25,-6017.78
2024-06-26 04:27:26,46.25441,14.422453,7202.27,3317.47,-6392.74
2024-06-26 04:27:36,46.254391,14.42244,7906.41,2413.48,-7529.04
2024-06-26 04:27:46,46.253883,14.422204,6343.8,3145.93,-5508.81
2024-06-26 04:27:56,46.252701,14.421767,8640.05,5626.04,-6557.3
2024-06-26 04:28:06,46.251537,14.421265,7895.04,4274.85,-6637.57
2024-06-26 04:28:16,46.250626,14.420859,8538.77,4446.67,-7289.56
2024-06-26 04:28:26,46.250572,14.420455,20906.01,19775.8,-6780.79
2024-06-26 04:28:36,46.250557,14.420465,21038.87,19367.27,-8218.44
2024-06-26 04:28:46,46.250061,14.420408,8613.37,6080.51,-6100.61
2024-06-26 04:28:56,46.248878,14.420135,8819.87,5693.21,-6736.28
2024-06-26 04:29:06,46.247608,14.420068,18954.44,18164.21,5415.92
2024-06-26 04:29:16,46.246677,14.420282,18995.03,18964.45,1077.32
2024-06-26 04:29:26,46.24572,14.420103,17422.61,17403.45,816.81
2024-06-26 04:29:36,46.244762,14.419799,17351.21,17293.02,1419.87
2024-06-26 04:29:46,46.243828,14.419382,15880.71,15865.25,-700.55
2024-06-26 04:29:56,46.243431,14.41921,15561.42,15561.39,25.7
2024-06-26 04:30:06,46.242905,14.419327,16105.38,15766.04,3288.64
2024-06-26 04:30:16,46.241787,14.419326,15709.69,15450.63,2841.19
2024-06-26 04:30:26,46.240437,14.419234,17078.47,17008.8,1541.06
2024-06-26 04:30:36,46.239315,14.419286,17342.12,17098.69,2895.52
2024-06-26 04:30:46,46.238186,14.419087,17265.15,17103.24,2358.95
2024-06-26 04:30:56,46.237213,14.418722,16709.23,16674.38,1078.53
2024-06-26 04:31:06,46.236641,14.418711,19134.81,19054.59,1750.22
2024-06-26 04:31:16,46.236664,14.420448,19671.96,19615.9,1484.01
2024-06-26 04:31:26,46.236526,14.422935,18984.71,18919.85,1567.92
2024-06-26 04:31:36,46.236462,14.425441,18282.26,18140.03,2276.03
2024-06-26 04:31:46,46.236416,14.4278,18028.24,17883.38,2280.79
2024-06-26 04:31:56,46.236347,14.430119,17890.3,17801.17,1783.59
2024-06-26 04:32:06,46.236156,14.432111,17937.73,17619.18,3365.52
2024-06-26 04:32:16,46.23502,14.431822,19804.49,19413.58,3915.43
2024-06-26 04:32:26,46.233234,14.432627,20531.02,20416.17,2168.59
2024-06-26 04:32:36,46.231392,14.434476,19776.9,19721.94,1473.31
2024-06-26 04:32:46,46.22987,14.436801,19551.21,19533.37,835.25
2024-06-26 04:32:56,46.228565,14.439279,18022.46,17764.5,3038.36
2024-06-26 04:33:06,46.226959,14.441159,18713.9,18234.91,4206.9
2024-06-26 04:33:16,46.224983,14.441813,19929.3,19526.12,3988.47
2024-06-26 04:33:26,46.22303,14.441147,19986.4,19784.28,2835.2
2024-06-26 04:33:36,46.221401,14.439596,19266.3,18991.15,3244.43
2024-06-26 04:33:46,46.219719,14.43817,19991.08,19681.07,3506.99
2024-06-26 04:33:56,46.218536,14.436712,19933.94,19924.81,603.19
2024-06-26 04:34:06,46.219467,14.43607,23948.79,23947.35,262.7
2024-06-26 04:34:16,46.219318,14.437637,17732.19,16865.44,5476.11
2024-06-26 04:34:26,46.218132,14.439824,19584.96,18752.2,5650.28
2024-06-26 04:34:36,46.216591,14.442495,19028.71,18397.26,4861.34
2024-06-26 04:34:46,46.21492,14.445288,18851.56,18332.68,4392.5
2024-06-26 04:34:56,46.2132,14.448081,19388.86,18779.54,4822.55
2024-06-26 04:35:06,46.211487,14.450768,19142.21,18628.7,4404.08
2024-06-26 04:35:16,46.209785,14.453355,18896.88,18372.01,4422.82
2024-06-26 04:35:26,46.208229,14.455631,19153.49,18549.94,4770.31
2024-06-26 04:35:36,46.206635,14.457903,18986.72,18254.73,5221.15
2024-06-26 04:35:46,46.205036,14.460123,19324.99,18555.79,5397.99
2024-06-26 04:35:56,46.203411,14.462357,18895.62,18099.62,5426.64
2024-06-26 04:36:06,46.201641,14.464693,19086.25,18642.46,4091.88
2024-06-26 04:36:16,46.199783,14.467039,19513.9,19058.65,4190.49
2024-06-26 04:36:26,46.197739,14.469538,19144.5,18395.41,5302.89
2024-06-26 04:36:36,46.195488,14.472171,18663.4,17415.14,6710.85
2024-06-26 04:36:46,46.193199,14.474724,18513.67,17852.25,4904.42
2024-06-26 04:36:56,46.190903,14.477232,18976.42,18134.6,5589.35
2024-06-26 04:37:06,46.188572,14.479593,18871.82,18217.66,4925.69
2024-06-26 04:37:16,46.186123,14.481686,18859.34,18001.37,5623.65
2024-06-26 04:37:26,46.183506,14.483431,19423.86,18535.39,5807.39
2024-06-26 04:37:36,46.180729,14.484808,19915.96,19190.97,5324.68
2024-06-26 04:37:46,46.177776,14.485678,19991.88,19191.81,5599.09
2024-06-26 04:37:56,46.174744,14.486143,20065.57,19211.49,5791.87
2024-06-26 04:38:06,46.171898,14.486114,14476.66,14333.49,-2030.92
2024-06-26 04:38:16,46.169189,14.485668,20533.8,20009.66,4609.83
2024-06-26 04:38:26,46.166492,14.484836,19014.06,18398.54,4798.77
2024-06-26 04:38:36,46.163734,14.483676,21289.19,20553.6,5547.9
2024-06-26 04:38:46,46.160919,14.482369,20666.68,20103.27,4792.72
2024-06-26 04:38:56,46.158073,14.481042,19369.85,18927.62,4115.38
2024-06-26 04:39:06,46.155239,14.479714,20449.83,19978.89,4363.4
2024-06-26 04:39:16,46.152515,14.478436,19466.17,18994.88,4257.51
2024-06-26 04:39:26,46.14986,14.477224,19415.55,18853.01,4639.81
2024-06-26 04:39:36,46.147114,14.47628,20406.88,19894.86,4542.65
